      22  1  1.000            22       0       0       0       0
     211  1  1.000           211       0       0       0       0
     111  1  1.000           111       0       0       0       0
    -211  1  1.000          -211       0       0       0       0
     321  1  1.000           321       0       0       0       0
    -321  1  1.000          -321       0       0       0       0
     311  1  1.000           311       0       0       0       0
    -311  1  1.000          -311       0       0       0       0
     221  2  0.397            22      22       0       0       0
     221  3  0.328           111     111      111      0       0
     221  3  0.228           211     111     -211      0       0
     221  3  0.047           211    -211       22      0       0
     213  2  1.000           211     111       0       0       0
     113  2  1.000           211    -211       0       0       0
    -213  2  1.000          -211     111       0       0       0
     223  3  0.893           211     111    -211       0       0
     223  2  0.090           111      22       0       0       0
     223  2  0.017           211    -211       0       0       0
     323  2  0.667           311     211       0       0       0
     323  2  0.333           321     111       0       0       0
    -323  2  0.667          -311    -211       0       0       0
    -323  2  0.333          -321     111       0       0       0
     313  2  0.667           321    -211       0       0       0
     313  2  0.333           311     111       0       0       0
    -313  2  0.667          -321     211       0       0       0
    -313  2  0.333          -311     111       0       0       0
    2212  1  1.000          2212       0       0       0       0
    2112  1  1.000          2112       0       0       0       0
     331  3  0.445           211    -211     221       0       0
     331  2  0.295           113      22       0       0       0
     331  3  0.209           111     111     221       0       0
     331  2  0.030           223      22       0       0       0
     331  2  0.021            22      22       0       0       0
 9010221  2  0.520           211    -211       0       0       0
 9010221  2  0.260           111     111       0       0       0
 9010221 -2  0.110           321    -321       0       0       0
 9010221 -2  0.110           311    -311       0       0       0
 9000211  2  0.844           221     211       0       0       0
 9000211 -2  0.156           321    -311       0       0       0
 9000111  2  0.844           221     111       0       0       0
 9000111 -2  0.078           311    -311       0       0       0
 9000111 -2  0.078           321    -321       0       0       0
-9000211  2  0.844           221    -211       0       0       0
-9000211 -2  0.156          -321     311       0       0       0
     333  2  0.492           321    -321       0       0       0
     333  2  0.342           311    -311       0       0       0
     333  2  0.051           213    -211       0       0       0
     333  2  0.051           113     111       0       0       0
     333  2  0.051          -213     211       0       0       0
     333  2  0.013           221      22       0       0       0
    3122  1  1.000          3122       0       0       0       0
   10223  2  0.333           213    -211       0       0       0
   10223  2  0.334           113     111       0       0       0
   10223  2  0.333          -213     211       0       0       0
    3222  1  1.000          3222       0       0       0       0
    3212  2  1.000          3122      22       0       0       0    
    3112  1  1.000          3112       0       0       0       0
   10213  2  1.000           223     211       0       0       0
   10113  2  1.000           223     111       0       0       0
  -10213  2  1.000           223    -211       0       0       0
   20213  2  0.500           113     211       0       0       0
   20213  2  0.500           213     111       0       0       0
   20113  2  0.500           213    -211       0       0       0
   20113  2  0.500          -213     211       0       0       0
  -20213  2  0.500           113    -211       0       0       0
  -20213  2  0.500          -213     111       0       0       0
