9
1 770.0   139.0   0.0   150.0   6.0   -1     rho
2 1232.0   938.0   0.0   115.0   10.66   1     Delta
3 892.0   495.0   0.0   50.0   4.0   -1     K_star
4 1385.0   1150.0   0.0   36.0   4.0   1     Sigma_star
5 498.0   139.0   0.0   0.001   0.686   -1   K0s
6 1150.0   938.0   0.0   0.001   10.6   1     Sigma_and_Lambda
7 782.59   139.57   134.98   8.49   2.679   -1     omega
8 547.0   139.0   139.0   0.001   0.24   -1     eta
9 958.0   139.0   547.0   0.2   0.44   -1     eta_prime
