#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
78.0 0.3300376 2.0 2.0 0.012046783 3.2936409
79.0 0.31628686 2.0 2.0 0.010128725 3.6756428
80.0 0.30286441 2.0 2.0 0.004358596 3.215621
81.0 0.28929359 2.0 2.0 0.007979015 3.2003166
82.0 0.2757876 2.0 2.0 0.020844603 3.2695174
83.0 0.26234982 2.0 2.0 0.017631273 3.3650975
84.0 0.24877618 2.0 2.0 0.028805622 3.3927028
85.0 0.23506605 2.0 2.0 0.0066763177 3.2927186
86.0 0.22124415 2.0 2.0 0.016836363 3.4157203
87.0 0.20764705 2.0 2.0 0.0035288786 3.5611187
88.0 0.19385317 2.0 2.0 0.025271705 3.6041736
89.0 0.1803281 2.0 2.0 0.008870969 3.5229473
90.0 0.16650514 2.0 2.0 0.0069078588 3.2518534
91.0 0.15275463 2.0 2.0 0.0096730236 3.1990952
92.0 0.13864324 2.0 2.0 0.01712966 3.4966914
93.0 0.12439706 2.0 2.0 0.0070022567 3.2852025
94.0 0.10991239 2.0 2.0 0.010963232 3.2833535
95.0 0.094931136 2.0 2.0 0.01326861 3.4669555
96.0 0.079421494 2.0 2.0 0.018183655 3.1480618
97.0 0.063664209 2.0 2.0 0.017517427 3.6331402
98.0 0.04638953 2.0 2.0 0.008848738 3.4233164
99.0 0.027366018 2.0 2.0 0.014615827 3.2561205
100.0 1.6114572e-05 2.0 2.0 0.0090875095 3.4928852
